student_id,total_risk,risk_rank
pjxqqxbj998,,815
pjxqzxbj967,,816
pjxqzxbj971,,817
pjxqzxbj973,,818
pjxqzxbj975,,819
pjxqzxbj979,,820
pjxqzxbj982,,821
pjxqzxbj983,,822
pjxqzxbj995,,823
pjxqzxbj997,,824
pjxrqxbj891,,825
pjxrqxbj914,,826
pjxrqxbj916,,827
pjxrqxbj919,,828
pjxrqxbj945,,829
pjxrqxbj947,,830
pjxrqxbj973,,831
pjxrqxbj981,,832
pjxrqxbj988,,833
pjxrqxbj992,,834
pjxsqxbj751,,835
pjxsqxbj752,,836
pjxsqxbj758,,837
pjxsqxbj760,,838
pjxsqxbj764,,839
pjxsqxbj765,,840
pjxsqxbj768,,841
pjxsqxbj771,,842
pjxsqxbj772,,843
pjxsqxbj774,,844
pjxsqxbj777,,845
pjxsqxbj779,,846
pjxsqxbj784,,847
pjxsqxbj786,,848
pjxsqxbj788,,849
pjxsqxbj789,,850
pjxsqxbj790,,851
pjxsqxbj792,,852
pjxsqxbj796,,853
pjxsqxbj801,,854
pjxsqxbj809,,855
pjxsqxbj812,,856
pjxsqxbj815,,857
pjxsqxbj816,,858
pjxsqxbj820,,859
pjxsqxbj821,,860
pjxsqxbj823,,861
pjxsqxbj824,,862
pjxsqxbj825,,863
pjxsqxbj826,,864
pjxsqxbj827,,865
pjxsqxbj829,,866
