request_id,feature_group,model_name,threshold_strategy,threshold,auc,f1,recall,precision,selected_threshold,selection_reason
study_train_evolution_request,grade_dominant,RandomForest,best_f1,0.65,0.8407959358238718,0.6137453383058071,0.5110913930789707,0.768,False,
study_train_evolution_request,grade_dominant,RandomForest,best_f1,0.7,0.8407959358238718,0.579841449603624,0.45430346051464066,0.8012519561815337,False,
study_train_evolution_request,grade_dominant,RandomForest,best_f1,0.75,0.8407959358238718,0.5449101796407185,0.40372670807453415,0.8379373848987108,False,
study_train_evolution_request,grade_dominant,RandomForest,best_f1,0.8,0.8407959358238718,0.4949748743718593,0.34960070984915703,0.8473118279569892,False,
study_train_evolution_request,grade_dominant,RandomForest,best_f1,0.85,0.8407959358238718,0.4305835010060362,0.28482697426796805,0.8818681318681318,False,
study_train_evolution_request,grade_dominant,RandomForest,best_f1,0.9,0.8407959358238718,0.3364620938628159,0.2067435669920142,0.9031007751937985,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.1,0.8407959358238718,0.5535,0.9822537710736469,0.3853115210581274,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.15,0.8407959358238718,0.581450969970768,0.9707187222715173,0.4150227617602428,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.2,0.8407959358238718,0.6018202502844141,0.9387755102040817,0.44286312264545835,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.25,0.8407959358238718,0.6202880784554091,0.8979591836734694,0.4737827715355805,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.3,0.8407959358238718,0.6414091060152874,0.8562555456965395,0.5127523910733263,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.35,0.8407959358238718,0.6557260078487335,0.8154392191659272,0.5483293556085919,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.4,0.8407959358238718,0.6621468926553672,0.7799467613132209,0.5752617801047121,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.45,0.8407959358238718,0.6639871382636656,0.7329192546583851,0.6069066862601029,True,best F1 under recall priority
