sid,term_id,cluster
pjxuqwbj830,2020-2021-T1,1
pjxuqwbj831,2020-2021-T1,1
pjxuqwbj833,2020-2021-T1,1
pjxuqwbj837,2020-2021-T1,3
pjxuqwbj838,2020-2021-T1,1
pjxuqwbj839,2020-2021-T1,3
pjxuqwbj840,2020-2021-T1,1
pjxuqwbj845,2020-2021-T1,1
pjxuqwbj847,2020-2021-T1,1
pjxuqwbj848,2020-2021-T1,1
pjxuqwbj850,2020-2021-T1,3
pjxuqwbj853,2020-2021-T1,1
pjxuqwbj854,2020-2021-T1,1
pjxuqwbj857,2020-2021-T1,3
pjxuqwbj858,2020-2021-T1,3
pjxuqwbj861,2020-2021-T1,1
pjxuqwbj870,2020-2021-T1,1
pjxuqwbj871,2020-2021-T1,3
pjxuqwbj873,2020-2021-T1,1
pjxuqwbj876,2020-2021-T1,1
pjxuqwbj877,2020-2021-T1,1
pjxuqwbj878,2020-2021-T1,1
pjxuqwbj879,2020-2021-T1,1
pjxuqwbj881,2020-2021-T1,3
pjxuqwbj883,2020-2021-T1,3
pjxuqwbj890,2020-2021-T1,1
pjxuqwbj892,2020-2021-T1,3
pjxuqwbj894,2020-2021-T1,1
pjxuqwbj898,2020-2021-T1,1
pjxuqwbj903,2020-2021-T1,1
pjxuqwbj904,2020-2021-T1,1
pjxuqwbj905,2020-2021-T1,3
pjxuqwbj906,2020-2021-T1,1
pjxuqwbj914,2020-2021-T1,1
pjxuqwbj915,2020-2021-T1,1
pjxuqwbj916,2020-2021-T1,3
pjxuqwbj917,2020-2021-T1,3
pjxuqwbj918,2020-2021-T1,3
pjxuqwbj925,2020-2021-T1,1
pjxuqwbj927,2020-2021-T1,1
pjxuqwbj928,2020-2021-T1,1
pjxuqwbj930,2020-2021-T1,1
pjxuqwbj933,2020-2021-T1,1
pjxuqwbj935,2020-2021-T1,1
pjxuqwbj937,2020-2021-T1,1
pjxuqwbj944,2020-2021-T1,3
pjxuqwbj947,2020-2021-T1,1
pjxuqwbj950,2020-2021-T1,1
pjxuqwbj952,2020-2021-T1,1
pjxuqwbj953,2020-2021-T1,1
pjxuqwbj954,2020-2021-T1,1
pjxuqwbj955,2020-2021-T1,1
pjxuqwbj956,2020-2021-T1,1
pjxuqwbj958,2020-2021-T1,1
