student_id,total_risk,risk_rank
pjxyqwbj408,0.3478,701
pjxyqxbj905,0.3477,702
pjxyqwbj895,0.3477,703
pjxyqxbl708,0.3476,704
pjxpqxbj918,0.3476,705
pjxyqwbk661,0.3476,706
pjxyqxbk522,0.3475,707
pjxyqxbk546,0.3474,708
pjxyqwbj463,0.3471,709
pjxyqwbk548,0.347,710
pjxuzxbj986,0.347,711
pjwtqxbj976,0.347,712
pjxyqwbj744,0.347,713
pjxyqwbj608,0.347,714
pjxyqwbk865,0.347,715
pjxsqxbj888,0.3469,716
pjxyqwbk764,0.3469,717
pjxuqwbj615,0.3469,718
pjxyqwbk531,0.3469,719
pjxyqwbk671,0.3467,720
pjxuqwbj586,0.3467,721
pjxyqxbk253,0.3466,722
pjxyqxbj780,0.3463,723
pjxyqwbk810,0.3463,724
pjxyqwbj223,0.3463,725
pjxyqxbj063,0.346,726
pjxyqwbj003,0.346,727
pjxyqxbl900,0.3459,728
pjxyqwbj122,0.3458,729
pjxyqxbk596,0.3458,730
pjxyqxbk953,0.3457,731
pjxyqxbk905,0.3457,732
pjxyqxbj835,0.3455,733
pjxxzxkj978,0.3454,734
pjxsqxbj922,0.3453,735
pjxyqxbj035,0.3453,736
pjxyqwbk673,0.3452,737
pjxwzxkj985,0.3451,738
pjxyqxbj610,0.3451,739
pjxyqxbj315,0.3448,740
pjxyqxbj984,0.3447,741
pjxyqxbk649,0.3446,742
pjxyqxbj630,0.3446,743
pjwtqxbj932,0.3445,744
pjxyqxbj397,0.3445,745
pjxyqwbj662,0.3445,746
pjxyqwbj084,0.3445,747
pjxyqxbj765,0.3443,748
pjxuqwbj535,0.3443,749
pjwtqxbj939,0.3442,750
pjxyqwbk828,0.3442,751
pjxyqxbj044,0.3441,752
pjxyqwbj669,0.344,753
pjxyqxbk144,0.3439,754
pjvyzxbj995,0.3439,755
pjxqzxbj984,0.3438,756
pjxyqxbk074,0.3438,757
pjxrqxbj928,0.3438,758
pjxyqxbl893,0.3437,759
pjxyqxbj756,0.3437,760
pjxyqwbj221,0.3437,761
pjxyqwbj802,0.3436,762
pjxyqwbj087,0.3436,763
pjwtqxbj968,0.3436,764
pjxyqxbj584,0.3431,765
pjxyqxbj868,0.343,766
pjxyqxbj578,0.3429,767
pjxuqwbj723,0.3428,768
pjxsqxbj815,0.3428,769
pjxyqwbk562,0.3428,770
pjxyqwbk962,0.3427,771
pjxrqxbj918,0.3427,772
pjxyqxbj031,0.3427,773
pjxyqwbj713,0.3427,774
pjxyqwbj896,0.3426,775
pjxsqxbj985,0.3425,776
pjxyqwbj939,0.3425,777
pjxyqwbj864,0.3425,778
pjxuqwbj476,0.3425,779
pjxwxxbj928,0.3425,780
pjxyqxbk005,0.3425,781
pjxuqwbj479,0.3424,782
pjxxxxbj958,0.3423,783
pjxsqxbj792,0.3422,784
pjwrqxbj905,0.342,785
pjxwxxbj941,0.342,786
pjxyqxbj018,0.3419,787
pjxyqxbj889,0.3419,788
pjxyqwbj927,0.3418,789
pjxyqxbk997,0.3417,790
pjxyqxbj574,0.3417,791
pjxwxxbj967,0.3413,792
pjxvzxbj997,0.3413,793
pjxyqwbj078,0.3413,794
pjxyqxbk163,0.3412,795
pjxsqxbj764,0.3412,796
pjxyqwbj902,0.3411,797
pjxyqxbk022,0.3411,798
pjxyqwbk514,0.341,799
pjxyqxbj319,0.3408,800
pjxyqwbj991,0.3407,801
pjxuqwbj992,0.3407,802
pjxyqwbj488,0.3407,803
pjxyqwbj108,0.3407,804
pjxyqwbj903,0.3406,805
pjxwxxbj972,0.3406,806
pjxuqwbj954,0.3405,807
pjxyqxbj663,0.3404,808
pjxyqxbk674,0.3403,809
pjxsqxbj796,0.3403,810
pjxyqxbj581,0.3401,811
pjxyqwbj979,0.3401,812
pjxyqwbj532,0.34,813
pjxyqxbk603,0.3399,814
pjxuqwbj678,0.3398,815
pjxsqxbj997,0.3398,816
pjxsqxbj789,0.3396,817
pjxyqxbj224,0.3396,818
pjxsqxbj942,0.3396,819
pjxyqwbk509,0.3396,820
pjwtqxbj977,0.3396,821
pjwtqxbj928,0.3396,822
pjwrqxbj984,0.3395,823
