student_id,life_risk,study_risk,sport_risk,total_risk
pjxyqwbk953,0.69,0.0782,0.4464,0.4049
pjxyqxbk043,,0.1626,0.6459,0.4042
pjxyqwbj588,0.5015,0.3695,0.3412,0.404
pjxyqxbj893,0.7075,0.0244,0.4794,0.4038
pjxyqwbk583,0.5015,0.1439,0.5656,0.4037
pjxuqwbj525,0.9411,0.0137,0.2551,0.4033
pjxuqwbj750,0.5015,0.0572,0.6494,0.4027
pjxrqxbj943,0.8325,0.1194,0.2547,0.4022
pjxyqwbk826,0.6981,0.0918,0.4165,0.4021
pjxyqxbk742,0.995,0.0214,0.1897,0.402
pjxuqwbj698,0.96,0.0137,0.2301,0.4013
pjxrqxbj955,0.9701,0.0345,0.1975,0.4007
pjxuqwbj890,0.5015,0.1439,0.556,0.4005
pjxyqxbj507,0.5015,0.2032,0.4958,0.4002
pjxuqwbj639,0.5015,0.1603,0.5386,0.4001
pjxuqwbj705,0.5015,0.1274,0.5676,0.3988
pjxyqwbk845,0.5015,0.132,0.562,0.3985
pjxyqxbj895,0.955,0.0419,0.198,0.3983
pjxyqwbj888,0.5015,0.194,0.4987,0.3981
pjxyqxbj681,0.9488,0.0204,0.2222,0.3971
pjxuqwbj585,0.8765,0.0097,0.302,0.3961
pjxyqxbk733,,0.2529,0.5382,0.3955
pjxrqxbj996,0.6086,0.1496,0.4279,0.3954
pjxyqwbk620,0.5015,0.1663,0.5176,0.3951
pjxyqxbl886,0.5015,0.0553,0.6282,0.395
pjxyqxbl858,0.5015,0.0478,0.6349,0.3947
pjxyqwbj555,0.9327,0.0278,0.2232,0.3946
pjxsqxbj862,0.5015,0.1219,0.5584,0.3939
pjxyqwbj205,0.5204,0.1663,0.4937,0.3935
pjxuqwbj591,0.8767,0.0093,0.2941,0.3934
pjxqqxbj964,0.6572,0.0505,0.4721,0.3933
pjxyqxbl828,0.7688,0.0156,0.3942,0.3929
pjxsqxbj877,0.5015,0.1755,0.5009,0.3926
pjxrqxbj990,0.9137,0.0217,0.2423,0.3926
pjxyqxbk399,0.7158,0.0193,0.4425,0.3925
pjxyqxbj262,0.7828,0.0144,0.3784,0.3919
pjxyqxbk125,0.5015,0.1439,0.5298,0.3917
